               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 162,            0.011935,           0.0051672,                   0,             0.99749,                   1,               0.995,             0.89605,           0.0098803,           0.0033821,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.011946,           0.0052906,                   0,             0.99809,                   1,               0.995,             0.90889,           0.0096812,           0.0032201,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.013818,           0.0049059,                   0,             0.99807,                   1,               0.995,             0.89351,            0.010251,           0.0034424,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.012949,           0.0055467,                   0,             0.99817,                   1,               0.995,             0.91877,           0.0099514,           0.0032846,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.011881,           0.0049749,                   0,             0.99817,                   1,               0.995,             0.90209,            0.009634,           0.0033009,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.012022,           0.0050896,                   0,               0.998,                   1,               0.995,             0.90998,            0.010191,           0.0033001,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.011639,           0.0050752,                   0,             0.99801,                   1,               0.995,             0.91507,           0.0098293,           0.0032603,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.012494,           0.0053063,                   0,             0.99824,                   1,               0.995,              0.9087,            0.010139,           0.0032667,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.011782,           0.0050437,                   0,             0.99834,                   1,               0.995,             0.91621,            0.009604,           0.0031369,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.011894,           0.0049959,                   0,             0.99822,                   1,               0.995,             0.90406,           0.0096055,           0.0033526,                   0,             0.00439,             0.00439,             0.00439
